,Data,TMAX,TMIN,PRCP
642,196112,220,150,0
643,196201,250,90,0
644,196202,270,100,0
645,196203,300,120,0
646,196204,310,160,126
647,196209,-9999,160,68
648,196210,280,-9999,0
649,196211,275,165,0
650,196212,300,130,0
651,196301,280,130,0
652,196302,280,130,0
653,196303,250,130,0
654,196305,235,140,0
655,196308,240,125,0
656,196309,240,170,0
657,196310,290,160,35
658,196311,180,170,28
659,196312,150,160,178
660,196402,250,120,149
661,196403,270,170,37
662,196404,300,140,0
663,196405,330,170,0
664,196406,225,190,0
665,196407,250,150,0
666,196408,240,160,0
667,196409,240,150,0
668,196410,240,150,0
669,196411,250,160,0
670,196412,210,130,0
671,196501,240,130,0
672,196505,250,130,63
673,196506,250,150,0
674,196507,230,170,0
675,196508,250,150,0
676,196509,250,160,0
677,196510,240,140,0
678,196511,250,150,0
679,196512,235,110,36
680,196601,250,130,40
681,196602,210,130,0
682,196603,240,100,0
683,196604,280,130,0
684,196605,260,160,0
685,196606,280,150,0
686,196607,240,170,0
687,196608,255,185,0
688,196609,245,150,60
689,196610,255,150,60
690,196611,248,145,20
691,196612,250,130,0
692,196701,264,97,325
693,196702,282,130,0
694,196703,290,138,0
695,196704,279,140,0
696,196705,330,140,38
697,196706,329,180,0
698,196707,286,190,15
699,196708,293,164,67
700,196709,252,165,6
701,196710,269,164,0
702,196711,276,161,0
703,196712,259,130,0
704,196801,260,150,0
705,196802,260,139,0
706,196803,230,113,0
707,196804,290,130,166
708,196805,282,174,68
709,196806,300,155,0
710,196807,250,180,190
711,196808,290,150,0
712,196809,260,163,13
713,196810,273,142,179
714,196811,260,170,0
715,196812,270,150,0
716,196901,252,154,0
717,196902,282,122,0
718,196903,292,152,0
719,196904,290,OI,0
720,196905,320,150,0
721,196906,320,172,13
722,196907,286,180,12
723,196908,270,166,100
724,196909,220,170,84
725,196910,250,160,0
726,196911,250,150,0
727,196912,250,140,23
728,197001,260,148,0
729,197002,276,133,50
730,197003,272,141,0
731,197004,322,150,2
732,197005,312,177,0
733,197006,276,193,0
734,197007,246,182,28
735,197008,243,152,518
736,197009,259,160,560
737,197010,270,172,25
738,197011,276,158,0
739,197012,290,133,0
740,197101,280,134,0
741,197102,270,130,0
742,197106,304,140,0
743,197107,252,173,0
744,197108,260,162,0
745,197109,240,160,0
746,197110,235,153,0
747,197111,240,160,85
748,197112,230,100,75
749,197201,240,115,1
750,197202,250,100,0
751,197203,265,110,0
752,197204,280,125,0
753,197205,305,125,0
754,197206,255,190,0
755,197207,280,155,0
756,197208,230,180,0
757,197209,260,165,14
758,197210,255,155,0
759,197211,250,155,85
760,197212,220,160,150
761,197301,270,150,0
762,197302,270,120,1
763,197303,280,140,0
764,197304,290,115,0
765,197305,310,170,0
766,197306,290,200,0
767,197308,220,175,155
768,197309,230,160,135
769,197310,240,160,70
770,197311,260,150,45
771,197312,235,150,0
772,197401,-9999,110,0
773,197402,280,-9999,0
774,197403,270,140,0
775,197404,295,105,0
776,197405,305,140,0
777,197406,270,170,0
778,197407,240,160,40
779,197408,270,160,0
780,197409,250,160,355
781,197410,240,160,0
782,197411,265,150,0
783,197412,240,160,20
784,197501,260,125,0
785,197502,240,130,0
786,197503,280,160,0
787,197504,310,160,0
788,197505,300,170,0
789,197506,240,170,0
790,197507,230,180,0
791,197508,260,160,385
792,197509,210,160,0
793,197510,270,150,0
794,197511,260,150,0
795,197512,240,140,0
796,197601,250,140,0
797,197602,220,120,0
798,197603,270,130,0
799,197604,280,140,0
800,197605,280,130,0
801,197606,250,170,0
802,197607,230,150,210
803,197608,270,160,15
804,197609,270,160,0
805,197610,240,160,0
806,197611,230,150,0
807,197612,250,140,0
808,197701,260,140,0
809,197702,260,130,0
810,197703,280,130,0
811,197704,310,140,0
812,197705,300,160,0
813,197706,250,150,0
814,197707,240,160,0
815,197708,250,150,0
816,197709,235,170,35
817,197710,270,145,0
818,197711,265,150,0
819,197712,270,140,0
820,197801,270,160,0
821,197802,285,140,0
822,197803,260,145,0
823,197804,310,160,0
824,197805,325,160,0
825,197806,295,165,0
826,197807,250,175,210
827,197808,270,170,0
828,197809,265,165,170
829,197810,265,160,10
830,197811,245,160,0
831,197812,270,140,0
832,197901,255,155,0
833,197902,280,90,0
834,197903,290,145,0
835,197904,315,135,0
836,197905,325,170,0
837,197906,290,120,0
838,197907,290,175,0
839,197908,275,165,0
840,197909,280,160,100
841,197910,275,150,0
842,197911,290,115,0
843,197912,290,115,0
844,198001,250,90,0
845,198002,255,125,0
846,198003,280,120,0
847,198004,340,140,0
848,198005,310,180,0
849,198006,310,180,520
850,198007,270,180,0
851,198008,230,180,0
852,198009,220,170,15
853,198010,235,170,0
854,198011,260,160,0
855,198012,260,150,0
856,198101,-9999,150,0
857,198106,-9999,-9999,0
858,198110,-9999,-9999,0
859,198201,-9999,-9999,0
860,198203,-9999,-9999,0
861,198205,-9999,-9999,0
862,198301,-9999,-9999,146
863,198501,-9999,-9999,0
864,198607,-9999,-9999,70
865,198608,-9999,-9999,0
866,198609,-9999,-9999,0
867,198610,-9999,-9999,0
868,198611,-9999,-9999,0
869,198701,-9999,-9999,0
870,198703,-9999,-9999,0
871,198704,315,-9999,0
872,198705,-9999,145,0
873,198706,291,-9999,0
874,198707,298,147,0
875,198708,-9999,162,0
876,198802,294,-9999,10
877,198803,-9999,-9999,0
878,198804,-9999,-9999,0
879,198805,-9999,-9999,0
880,198806,-9999,-9999,-9999
881,198807,-9999,-9999,-9999
882,198808,-9999,-9999,-9999
883,198809,-9999,-9999,-9999
884,198903,298,-9999,-9999
885,198904,-9999,113,-9999
886,198905,-9999,167,-9999
887,198906,323,126,-9999
888,198908,-9999,170,-9999
889,198910,280,-9999,-9999
890,198911,-9999,143,-9999
891,198912,270,120,-9999
892,199001,263,138,-9999
893,199002,-9999,-9999,0
894,199003,-9999,126,-9999
895,199004,350,-9999,48
896,199005,362,147,43
897,199006,-9999,168,-9999
898,199007,-9999,173,0
899,199008,-9999,137,-9999
900,199009,-9999,126,-9999
901,199010,-9999,138,-9999
902,199011,-9999,141,-9999
903,199012,-9999,123,-9999
904,199101,264,127,-9999
905,199102,-9999,122,-9999
906,199103,308,-9999,0
907,199104,-9999,116,0
908,199105,-9999,150,0
909,199106,-9999,176,10
910,199107,-9999,-9999,-9999
911,199108,303,135,427
912,199109,-9999,157,0
913,199110,289,173,0
914,199111,-9999,170,0
915,199112,264,143,0
916,199201,-9999,124,-9999
917,199202,-9999,155,0
918,199203,300,80,0
919,199204,326,131,18
920,199205,-9999,154,241
921,199206,-9999,162,234
922,199207,-9999,153,404
923,199208,269,134,0
924,199209,287,151,0
925,199210,264,143,-9999
926,199211,269,114,0
927,199212,-9999,133,-9999
928,199301,225,117,0
929,199302,262,-9999,0
930,199303,301,136,41
931,199304,329,-9999,3
932,199305,-9999,148,3
933,199306,349,-9999,-9999
934,199307,260,178,0
935,199308,-9999,143,41
936,199310,-9999,181,28
937,199311,-9999,-9999,-9999
938,199312,-9999,-9999,0
939,199401,-9999,127,3
940,199402,-9999,-9999,0
